WhN,Material,MTyp,Material Description,SP,SR,SecIn,BSI,LE quantity,BUn,SUT,LE quantity,BUn,SUT,LE quantity,BUn,SUT,Text,Net Weight,WUn
703,5020004635,ROH,18ga 48 x 96 CR CQ (A566),50,***,440,,250,PC,P04,250,PC,P04,250,PC,P04,No,0,
703,5020004824,ROH,STRIKE,,,,,,,,,,,,,,,,
703,5020004825,HALB,PLATE,,,,,,,,,,,,,,,,
703,5020004939,ROH,SUPPORT,,,,,,,,,,,,,,,,
703,5020003248,ROH,Switch,,,,,,,,,,,,,,,,
703,5020003698,ROH,Screw,,,,,,,,,,,,,,,,
703,5020003900,ROH,Nameplate,,,,,,,,,,,,,,,,
703,5020004927,HALB,BRACKET,,,,,,,,,,,,,,,,
703,5020005019,HALB,PANEL,,,,,,,,,,,,,,,,
703,5020003899,ROH,Nameplate,,,,,,,,,,,,,,,,
703,5020004817,ROH,TAPE,,,,,,,,,,,,,,,,
703,5020004964,HALB,COVER,,,,,,,,,,,,,,,,
701,1703569011,ROH,Screw for plastic 3x12 T10 Zn Panhead,53,***,SP3,,2,PC,C42,0,PC,,0,PC,,No,0,
703,3471500138,ROH,Spring Shackle,52,52,1,,50,PC,P04,50,PC,P04,50,PC,P04,No,0,
703,5020005013,HALB,PANEL,,,,,,,,,,,,,,,,
703,5020003518,ROH,Endcap,,,,,,,,,,,,,,,,
703,5020003688,ROH,Washer,,,,,,,,,,,,,,,,
703,5020004963,HALB,CHANNEL,,,,,,,,,,,,,,,,
703,5020004965,HALB,COVER,,,,,,,,,,,,,,,,
703,5020003506,ROH,Latch,,,,,,,,,,,,,,,,
703,5020004946,HALB,DIVERTER,,,,,,,,,,,,,,,,
703,5020004966,HALB,SPACER,,,,,,,,,,,,,,,,
703,5020003517,ROH,Endcap,,,,,,,,,,,,,,,,
703,5020003687,ROH,Screw,,,,,,,,,,,,,,,,
703,5020003898,ROH,Nameplate,,,,,,,,,,,,,,,,
703,5020004007,ROH,Screw 8x1/2 PH TR Type A Blk Chromate,100,***,1,,60,PC,P04,500,PC,P04,500,PC,P04,No,0,
703,5020003921,ROH,24ga 48x96 G-30 HDG PPTD BLK Plastic 2-S,50,***,440,,250,PC,P04,250,PC,P04,250,PC,P04,No,0,
703,5020005250,HALB,BRACKET,,,,,,,,,,,,,,,,
703,5020005409,ROH,ROLLER .375 x .500,53,***,1,,5,PC,C42,5,PC,C42,5,PC,C42,No,0,
703,5020005132,HALB,PLATE,,,,,,,,,,,,,,,,
703,5020005175,HALB,BRACKET,,,,,,,,,,,,,,,,
703,5020005411,ROH,SPRING,,,,,,,,,,,,,,,,
703,5020005229,HALB,BRACKET,,,,,,,,,,,,,,,,
703,5020005419,ROH,GASKET,,,,,,,,,,,,,,,,
703,5020005562,ROH,TRIM,,,,,,,,,,,,,,,,
703,5020005608,ROH,SHAFT,,,,,,,,,,,,,,,,
703,5020005666,ROH,FILTER,,,,,,,,,,,,,,,,
703,5020005670,ROH,CLAMP,,,,,,,,,,,,,,,,
703,5020005212,HALB,SWITCH,,,,,,,,,,,,,,,,
703,5020005103,HALB,RETAINER,,,,,,,,,,,,,,,,
703,5020005129,HALB,GUSSET,,,,,,,,,,,,,,,,
703,5020005215,HALB,SWITCH,,,,,,,,,,,,,,,,
703,5020005049,HALB,BRACKET,,,,,,,,,,,,,,,,
703,8001062409,ROH,HARNESS,,,,,,,,,,,,,,,,
703,5020005073,HALB,PLATE,,,,,,,,,,,,,,,,
703,5020005071,HALB,Liner,,,,,,,,,,,,,,,,
703,5020005080,HALB,BRACKET,,,,,,,,,,,,,,,,
703,5020005095,ROH,CLIP,,,,,,,,,,,,,,,,
703,5020005102,HALB,BRACKET,,,,,,,,,,,,,,,,
703,5020005048,HALB,BAFFLE,,,,,,,,,,,,,,,,
703,5020005065,HALB,SKIN,,,,,,,,,,,,,,,,
703,5020005412,ROH,STIRRER COVER GLASS,0SV,***,1,,500,PC,P04,500,PC,P04,500,PC,P04,No,0,
703,5020005863,ROH,".025x12x96""SPRNG STL C1050 ANN          ",,,,,0,PC,,0,PC,,0,PC,,No,0,
703,5020005950,ROH,TAPE,,,,,,,,,,,,,,,,
703,5020005983,ROH,Bearing,,,,,,,,,,,,,,,,
703,5020006009,ROH,CATALYST,,,,,,,,,,,,,,,,
703,5020005959,ROH,SPACER,,,,,,,,,,,,,,,,WUn
703,5020006056,ROH,ARM,,,,,,,,,,,,,,,,
703,5020006103,ROH,CAPACITOR,,,,,,,,,,,,,,,,
703,5020006214,ROH,BRACKET,,,,,,,,,,,,,,,,
703,5020006026,ROH,ELEMENT,,,,,,,,,,,,,,,,
703,5020006031,ROH,SWITCH,,,,,,,,,,,,,,,,
703,5020006060,ROH,LEAF SPRING,,,,,,,,,,,,,,,,
703,5020006086,ROH,PAD,,,,,,,,,,,,,,,,
703,5020006218,ROH,FUSE 20A,51,51,1,,100,PC,P04,0,PC,P04,10,PC,,No,0,
703,5020005688,ROH,SPACER,,,,,,,,,,,,,,,,
703,5020005724,ROH,SCREW 10-32X1/2 PH PN ANC SW FRM,53,***,1,,6,PC,C42,6,PC,C42,6,PC,C42,No,0,
703,5020005734,ROH,SCREW 6-20x3/8 PH FL TYPEA 410,100,***,1,,10,PC,P04,10,PC,P04,10,PC,P04,No,0,
703,5020005751,ROH,"SCR #8x3/8 PHL MOD TRUSS ""A/B""          ",50,***,440,,500,PC,P04,500,PC,P04,500,PC,P04,No,0,
703,5020005420,ROH,STIRRER MOTOR,50,50,440,,200,PC,P04,200,PC,P04,200,PC,P04,No,0,
703,5020005607,ROH,ROLL PIN,53,***,1,,10.9,PC,C42,10.9,PC,C42,10.9,PC,C42,No,0,
703,5020005705,ROH,PAN,,,,,,,,,,,,,,,,
703,5020005711,ROH,Assy,,,,,,,,,,,,,,,,
703,5020005730,ROH,"SCR 10-24 1/2""HX WSH HD RLK ZC          ",53,***,1,,2,PC,P04,2,PC,P04,2,PC,P04,No,0,
703,5020005860,ROH,18ga 48x96 EG(A591)FP,50,***,440,,500,PC,P04,500,PC,P04,500,PC,P04,No,0,
703,5020005866,ROH,20ga 9.70x37.50 +/-.031 T304SS #4F/PB,,,,,,,,,,,,,,,,
703,5020005870,ROH,28ga 48 x 120 T304SS 2B-FIN,50,***,440,,500,PC,P04,500,PC,P04,500,PC,P04,No,11,
703,5020006001,ROH,SLEEVE,,,,,,,,,,,,,,,,
703,5020005872,ROH,26ga 48x120T304S#4F/BP,,,,,,,,,,,,,,,,
703,5020005924,ROH,plug,,,,,,,,,,,,,,,,
703,5020005952,ROH,COVER,,,,,,,,,,,,,,,,
703,5020005955,ROH,GLASS,,,,,,,,,,,,,,,,
703,5020005978,ROH,PERFORATED STEEL,,,,,,,,,,,,,,,,
703,5020005781,ROH,COTTER PIN 1/16X1,53,***,1,,5,PC,C42,0,PC,,0,PC,,No,0,
703,5020005871,ROH,26GA 36x120 T304S PERF.050 HOLE,50,***,440,,500,PC,P04,500,PC,P04,500,PC,P04,No,0,
703,5020005971,ROH,SLEEVE,,,,,,,,,,,,,,,,
703,5020005759,ROH,WASHER 430 SS,53,53,1,,100,PC,C42,100,PC,C42,100,PC,C42,No,0,
703,5020005760,ROH,WASHER (NYLON),50,***,1,,15,PC,P04,0,PC,,0,PC,,No,0,
703,5020005779,ROH,RIVET 3/16X3/4 430 SS,0SV,***,1,,100,PC,P04,0,PC,,0,PC,,No,0,
703,5020005882,ROH,24ga 48x52.0 G30 HDG P-PTD BLK 2-S,50,***,1,,200,PC,P04,0,PC,,0,PC,,No,0,
703,5020005990,ROH,SWITCH,,,,,,,,,,,,,,,,
703,5020005767,ROH,WASHER,,,,,,,,,,,,,,,,
703,5020008099,ROH,Hinge,,,,,,,,,,,,,,,,
703,5020008125,HALB,Bracket,,,,,,,,,,,,,,,,
703,5020008145,ROH,Glass,,,,,,,,,,,,,,,,
703,5020009020,HALB,Panel,,,,,,,,,,,,,,,,
703,5020008126,HALB,Bracket,,,,,,,,,,,,,,,,
703,5020008131,HALB,Clip,,,,,,,,,,,,,,,,
703,5020006756,HALB,Channel,,,,,,,,,,,,,,,,
703,5020006919,ROH,Carton,,,,,,,,,,,,,,,,
703,5020008042,ROH,Hinge,,,,,,,,,,,,,,,,
703,5020008129,HALB,Bracket,,,,,,,,,,,,,,,,
703,5020008133,HALB,Clip,,,,,,,,,,,,,,,,
703,5020008164,HALB,Bracket,,,,,,,,,,,,,,,,
703,5020008336,HALB,Panel,,,,,,,,,,,,,,,,
703,5020006061,ROH,STUB,,,,,,,,,,,,,,,,
703,5020006075,ROH,BEARING PLATE ASSY,53,***,1,,200,PC,C42,200,PC,C42,200,PC,C42,No,0,
703,5020006150,ROH,BUBBLE WRAP,,,,,,,,,,,,,,,,
